,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10207,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19368793.0,19368793.0,False,,1,,,,2023-05-10T03:31:00.000Z,27690.120367945194,14006574387.915121,-22.5435,-0.22279765,0.34589662,-2.92082657,-2.23840058,34.41265443,22.76201343,536324209551.8143,46.9673,581492527726.85,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
1,1027,Ethereum,ETH,ethereum,6855,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120317700.8456904,120317700.8456904,False,,2,,,,2023-05-10T03:31:00.000Z,1844.6532743676348,6087257100.65437,-31.4194,-0.28271839,0.08459006,-0.94760464,-0.78796421,26.08133297,13.90635876,221944440829.38834,19.4363,221944440829.39,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
2,825,Tether,USDT,tether,53054,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,82479410640.99255,86090638896.21469,False,,3,,,,2023-05-10T03:31:00.000Z,1.0004523480605052,21899713182.00191,-28.1406,-0.01666632,-0.04195046,0.01333156,-0.01202501,-1.70281184,0.03326318,82516720042.42761,7.2234,86129581829.75,,2023-05-10T03:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-05-10 03:33:41.834089
3,1839,BNB,BNB,bnb,1347,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155860823.16433185,155860823.16433185,False,,4,,,,2023-05-10T03:31:00.000Z,313.22806699804676,460180323.8226744,-23.3156,-0.14938524,-0.23887535,-3.57661647,0.09950527,12.25538923,-2.10900176,48819984360.48805,4.2753,48819984360.49,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
4,3408,USD Coin,USDC,usd-coin,12301,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,30151774997.209927,30151774997.209927,False,,5,,,,2023-05-10T03:31:00.000Z,1.0000175104060767,2944810223.9604216,-27.2142,-0.00589791,0.00068804,0.01546317,0.02327833,0.26553397,0.03443065,30152302967.03406,2.6405,30152302967.03,,2023-05-10T03:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-05-10 03:33:41.834089
5,52,XRP,XRP,xrp,941,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51837820505.0,99988965239.0,False,,6,,,,2023-05-10T03:31:00.000Z,0.43253665657128965,867878203.3040041,-25.0603,-0.04963292,1.65415011,-6.78518309,-14.10047976,16.71286823,10.79311438,22421757565.175343,1.9635,43253665657.13,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
6,2010,Cardano,ADA,cardano,782,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34841954554.605,35761344982.358,False,,7,,,,2023-05-10T03:31:00.000Z,0.3643934050846764,191556981.68937427,-32.3599,-0.29617509,-0.27143959,-5.83065557,-5.75973115,14.3761466,-4.47153395,12696178459.958067,1.1118,16397703228.81,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
7,74,Dogecoin,DOGE,dogecoin,703,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139281716383.70526,139281716383.70526,False,,8,,,,2023-05-10T03:31:00.000Z,0.07319623734459367,234321814.19900876,-42.4822,-0.2081782,1.00864517,-6.56418592,-11.68371484,9.44350455,-15.56882435,10194897570.18407,0.8926,10194897570.18,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
8,5426,Solana,SOL,solana,459,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,394977109.17245847,539312704.8875339,False,,9,,,,2023-05-10T03:31:00.000Z,20.696286155037917,270905933.030509,-41.1255,-0.27072119,0.08536276,-5.4077651,2.0429297,12.25380579,-7.46761833,8174559276.122852,0.7159,11161770067.4,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
9,3890,Polygon,MATIC,polygon,693,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9249469069.28493,10000000000.0,False,,10,,,,2023-05-10T03:31:00.000Z,0.8755516654997151,395685700.065588,-10.3476,-0.52158385,-2.6666031,-9.70176417,-19.95462877,-17.53399584,-29.89062637,8098388048.600519,0.7092,8755516655.0,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
10,6636,Polkadot,DOT,polkadot-new,499,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1182433734.0784574,1311912611.3836372,False,,11,,,,2023-05-10T03:31:00.000Z,5.335455665549966,110003797.62830596,-31.9383,-0.23108004,-0.44326486,-6.05313158,-13.4670173,-4.89982995,-18.87698272,6308822765.6263075,0.5525,6999651575.11,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
11,1958,TRON,TRX,tron,756,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,90501510706.4425,90501563708.6813,False,,12,71659659264.0,4951633890.014082,,2023-05-10T03:31:00.000Z,0.06909932228078089,177605193.1525728,-12.8417,-0.19607642,1.28390145,-0.47798877,4.02851665,19.94141639,7.56483406,6253593055.202013,0.5476,6253596717.62,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
12,2,Litecoin,LTC,litecoin,910,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,72884939.30932353,84000000.0,False,,13,,,,2023-05-10T03:31:00.000Z,79.82292032226157,469458153.62159437,-25.6034,-0.71465471,2.47840677,-8.99799882,-11.7778685,9.78905275,-17.10685405,5817888703.181003,0.5094,6705125307.07,,2023-05-10T03:31:00.000Z,,,,,,2023-05-10 03:33:41.834089
13,4687,Binance USD,BUSD,binance-usd,6730,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,5794734845.353375,5794734845.353375,False,,14,,,,2023-05-10T03:31:00.000Z,1.0000038996406257,2115353193.4300718,-25.2485,-0.04987569,-0.01838944,-0.01666838,-0.00464392,0.31655898,-0.00044113,5794757442.7367935,0.5075,5794757442.74,,2023-05-10T03:31:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-05-10 03:33:41.834089
14,5994,Shiba Inu,SHIB,shiba-inu,515,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589538087332797.0,589600796113211.0,False,,15,,,,2023-05-10T03:31:00.000Z,8.983207576965218e-06,117643320.64665525,-37.2262,-0.42437945,2.11703036,-9.92976492,-17.74544348,-13.4085931,-31.64951813,5295943013.037564,0.4638,5296506339.03,,2023-05-10T03:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-05-10 03:33:41.834089
